Term	UnitsName	UnitsTypeCV	UnitsAbbreviation	UnitsLink	limnoflag	unitabbv
caloriePerSquareCentimeterPerDay	Calorie per Square Centimeter per Day	Power per area	cal/cm^2 d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	calpcm2d
caloriePerSquareCentimeterPerMinute	Calorie per Square Centimeter per Minute	Power per area	cal/cm^2 min	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	calpcm2min
ergPerSquareCentimeterSecond	Erg per Square Centimeter Second	Power per area	erg/(cm^2-s)	http://qudt.org/vocab/unit#ErgPerSquareCentimeterSecond	NA	ergpcm2s
footPoundForcePerSquareFootSecond	Foot Pound Force per Square Foot Second	Power per area	ft-lbf(ft^2-s)	http://qudt.org/vocab/unit#FootPoundForcePerSquareFootSecond	NA	ftlbfft2s
kilocaloriePerSquareCentimeterMinute	Kilocalorie per Square Centimeter Minute	Power per area	kcal/(cm^2-min)	http://qudt.org/vocab/unit#KilocaloriePerSquareCentimeterMinute	NA	kcalpcm2min
kilocaloriePerSquareCentimeterSecond	Kilocalorie per Square Centimeter Second	Power per area	kcal/(cm^2-s)	http://qudt.org/vocab/unit#KilocaloriePerSquareCentimeterSecond	NA	kcalpcm2s
kilowattPerSquareMeter	Kilowatt per Square Meter	Power per area	kW/m^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	kwpm2
langleyPerDay	Langley per Day	Power per area	Ly/d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	lypd
langleyPerHour	Langley per Hour	Power per area	Ly/hr	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	lyphr
langleyPerMinute	Langley per Minute	Power per area	Ly/min	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	lypmin
langleyPerSecond	Langley per Second	Power per area	Ly/s	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	lyps
megajoulePerSquareMeterPerDay	Megajoule per Square Meter per Day	Power per area	MJ/m^2 d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mjpm2d
planckIntensity	Planck Intensity	Power per area			NA	
wattPerSquareCentimeter	Watt per Square Centimeter	Power per area	W/cm^2	http://qudt.org/vocab/unit#WattPerSquareCentimeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	wpcm2
wattPerSquareFoot	Watt per Square Foot	Power per area	W/ft^2	http://qudt.org/vocab/unit#WattPerSquareFoot	NA	wpft2
wattPerSquareInch	Watt per Square Inch	Power per area	W/in^2	http://qudt.org/vocab/unit#WattPerSquareInch	NA	wpin2
wattPerSquareMeter	Watt per Square Meter	Power per area	W/m^2	http://qudt.org/vocab/unit#WattPerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	wpm2
wattPerSquareMeterQuarticKelvin	Watt per Square Meter Quartic Kelvin	Power per area quartic temperature	W m^-2 K^-4	http://qudt.org/vocab/unit#WattPerSquareMeterQuarticKelvin	NA	wm2k4
voltPerSecond	Volt per Second	Power per electrical charge	V / sec	http://qudt.org/vocab/unit#VoltPerSecond	NA	vpsec
atmosphere	Atmosphere	Pressure or stress		http://www.unidata.ucar.edu/software/udunits/	NA	
bar	Bar	Pressure or stress	bar	http://qudt.org/vocab/unit#Bar	NA	bar
barie	Barie	Pressure or stress	barie	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	barie
centimeterOfMercury	Centimeter of Mercury	Pressure or stress	cm Hg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	cmhg
centimeterOfWater	Centimeter of Water	Pressure or stress	cmH2O	http://qudt.org/vocab/unit#CentimeterOfWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	cmh2o
decibar	Decibar	Pressure or stress	dbar	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	dbar
dynePerSquareCentimeter	Dyne per Square Centimeter	Pressure or stress	dyn/cm^2	http://qudt.org/vocab/unit#DynePerSquareCentimeter	NA	dynpcm2
footOfWater	Foot of Water	Pressure or stress	ftH2O	http://qudt.org/vocab/unit#FootOfWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	fth2o
hectopascal	Hectopascal	Pressure or stress	hPa	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	hpa
inchOfMercury	Inch of Mercury	Pressure or stress	in_i'Hg	http://qudt.org/vocab/unit#InchOfMercury; http://unitsofmeasure.org/ucum.html#para-44; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html	NA	inihg
inchOfMercury(60F)	Inch of Mercury (60F)	Pressure or stress		https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	
inchOfWater	Inch of Water	Pressure or stress	in_i'H2O	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-44; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html	NA	inih2o
inchOfWater(60F)	Inch of Water (60F)	Pressure or stress		https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	
kilogramForcePerSquareCentimeter	Kilogram Force per Square Centimeter	Pressure or stress	kgf/cm^2	http://qudt.org/vocab/unit#KilogramForcePerSquareCentimeter	NA	kgfpcm2
kilopascal	Kilopascal	Pressure or stress	KPa	http://qudt.org/vocab/unit#KiloPascal; http://qudt.org/vocab/unit#KiloPascalAbsolute; http://qwwebservices.usgs.gov/service-domains.html	1	kpa
kipPerSquareInch	Kip per Square Inch	Pressure or stress	kip/in^2	http://qudt.org/vocab/unit#KipPerSquareInch	NA	kippin2
ksi	ksi	Pressure or stress		http://www.unidata.ucar.edu/software/udunits/	NA	
megapascal	Megapascal	Pressure or stress	MPa	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mpa
meterOfMercury	Meter of Mercury	Pressure or stress	mHg	http://unitsofmeasure.org/ucum.html#para-44	NA	mhg
meterOfWater	Meter of Water	Pressure or stress	m H2O; mH2O	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-44	NA	mh2o;mh2o
microtorr	Microtorr	Pressure or stress	µtorr	http://qudt.org/vocab/unit#MicroTorr	NA	µtorr
millibar	Millibar	Pressure or stress	mbar	http://qudt.org/vocab/unit#Millibar; http://qwwebservices.usgs.gov/service-domains.html	1	mbar
millimeterOfMercury	Millimeter of Mercury	Pressure or stress	mmHg	http://qudt.org/vocab/unit#MillimeterOfMercury; http://qudt.org/vocab/unit#MillimeterOfMercuryAbsolute; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html	1	mmhg
millimeterOfWater	Millimeter of Water	Pressure or stress	mm H2O	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mmh2o
millitorr	Millitorr	Pressure or stress	utorr	http://qudt.org/vocab/unit#MilliTorr	NA	utorr
newtonPerSquareMeter	Newton per Square Meter	Pressure or stress	Newton/m^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	newtonpm2
pascal	Pascal	Pressure or stress	Pa	http://qudt.org/vocab/unit#Pascal; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/	NA	pa
planckPressure	Planck Pressure	Pressure or stress		http://qudt.org/vocab/unit#PlanckPressure	NA	
poundalPerSquareFoot	Poundal per Square Foot	Pressure or stress	pdl/ft^2	http://qudt.org/vocab/unit#PoundalPerSquareFoot	NA	pdlpft2
poundForcePerSquareFoot	Pound Force per Square Foot	Pressure or stress	lbf/ft^2	http://qudt.org/vocab/unit#PoundForcePerSquareFoot	NA	lbfpft2
poundForcePerSquareInch	Pound Force per Square Inch	Pressure or stress	psi	http://qudt.org/vocab/unit#PoundForcePerSquareInch; http://unitsofmeasure.org/ucum.html#para-47	NA	psi
psi	psi	Pressure or stress	psi	http://www.unidata.ucar.edu/software/udunits/	NA	psi
standardAtmosphere	Standard Atmosphere	Pressure or stress	atm	http://qudt.org/vocab/unit#AtmosphereStandard; http://unitsofmeasure.org/ucum.html#para-32	NA	atm
technicalAtmosphere	Technical Atmosphere	Pressure or stress	at	http://qudt.org/vocab/unit#AtmosphereTechnical; http://unitsofmeasure.org/ucum.html#para-47; http://www.unidata.ucar.edu/software/udunits/	NA	at
torr	Torr	Pressure or stress	torr	http://qudt.org/vocab/unit#Torr; http://www.unidata.ucar.edu/software/udunits/	NA	torr
pascalPerHour	Pascal per Hour	Pressure or stress rate	P / hr	http://qudt.org/vocab/unit#PascalPerHour	NA	pphr
pascalPerMinute	Pascal per Minute	Pressure or stress rate	P / min	http://qudt.org/vocab/unit#PascalPerMinute	NA	ppmin
pascalPerSecond	Pascal per Second	Pressure or stress rate	P / s	http://qudt.org/vocab/unit#PascalPerSecond	NA	pps
poundForcePerSquareInchSecond	Pound Force per Square Inch Second	Pressure or stress rate	lbf / in^2-s	http://qudt.org/vocab/unit#PoundForcePerSquareInchSecond	NA	lbfpin2s
quarticCoulombMeterPerCubicEnergy	Quartic Coulomb Meter per Cubic Energy	Quartic electrical dipole moment per cubic energy	C^4 m^4 J^-3	http://qudt.org/vocab/unit#QuarticCoulombMeterPerCubicEnergy	NA	c4m4j3
wattPerSquareMeterSteradian	Watt per Square Meter Steradian	Radiance	W/(m^2-sr)	http://qudt.org/vocab/unit#WattPerSquareMeterSteradian	NA	wpm2sr
wattPerSteradian	Watt per Steradian	Radiant intensity	W sr^-1	http://qudt.org/vocab/unit#WattPerSteradian	NA	wsr1
becquerel	Becquerel	Radioactivity	Bq	http://qudt.org/vocab/unit#Becquerel	NA	bq
curie	Curie	Radioactivity	Ci	http://qudt.org/vocab/unit#Curie	NA	ci
picocurie	Picocurie	Radioactivity	pCi	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	pci
becquerelPerLiter	Becquerel per Liter	Radioactivity per volume	Bq/L	http://environment.data.gov.au/def/unit/BecquerelPerLitre	NA	bqpl
disintegrationPerMinutePerLiter	Disintegration per Minute per Liter	Radioactivity per volume	dpm/l	http://qwwebservices.usgs.gov/service-domains.html	NA	dpmpl
millibecquerelPerLiter	Millibecquerel per Liter	Radioactivity per volume	mBq/L	http://environment.data.gov.au/def/unit/MilliBecquerelPerLitre	NA	mbqpl
picocuriePerLiter	Picocurie per Liter	Radioactivity per volume	pCi/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	pcipl
picocuriePerMilliliter	Picocurie per Milliliter	Radioactivity per volume	pCi/ml	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	pcipml
practicalSalinityScale	Practical Salinity Scale	Salinity	pss	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	pss
practicalSalinityUnit	Practical Salinity Unit	Salinity	PSU	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/PSU	NA	psu
meterPerPixel	Meter per Pixel	Satellite resolution	meters per pixel	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	metersperpixel
meterPerQuarticSecond	Meter per Quartic Second	Snap	m/s^4		NA	mps4
fractionalArea	Fractional Area	Solid angle	fa	http://qudt.org/vocab/unit#FractionalArea	NA	fa
sphere	Sphere	Solid angle	sph	http://unitsofmeasure.org/ucum.html#para-47	NA	sph
squareDegree	Square Degree	Solid angle	deg^2	http://qudt.org/vocab/unit#SquareDegree	NA	deg2
steradian	Steradian	Solid angle	sr	http://qudt.org/vocab/unit#Steradian; http://unitsofmeasure.org/ucum.html#para-30; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/	NA	sr
btuPerPound	Btu per Pound	Specific energy	Btu/lb	http://qudt.org/vocab/unit#BtuPerPound	NA	btuplb
ergPerGram	Erg per Gram	Specific energy		http://qudt.org/vocab/unit#ErgPerGram	NA	
geopotential	Geopotential	Specific energy		http://www.unidata.ucar.edu/software/udunits/	NA	
joulePerKilogram	Joule per Kilogram	Specific energy	J/kg	http://qudt.org/vocab/unit#JoulePerKilogram	NA	jpkg
kilocaloriePerGram	Kilocalorie per Gram	Specific energy	kcal/gm	http://qudt.org/vocab/unit#KilocaloriePerGram	NA	kcalpgm
meterSquaredPerSecondSquared	Meter Squared per Second Squared	Specific energy	m^2/s^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	m2ps2
btuPerPoundDegreeFahrenheit	Btu per Pound Degree Fahrenheit	Specific heat capacity	Btu/(lb-degF)	http://qudt.org/vocab/unit#BtuPerPoundDegreeFahrenheit	NA	btuplbdegf
btuPerPoundDegreeRankine	Btu per Pound Degree Rankine	Specific heat capacity	Btu/(lb-degR)	http://qudt.org/vocab/unit#BtuPerPoundDegreeRankine	NA	btuplbdegr
caloriePerGramDegreeCelsius	Calorie per Gram Degree Celsius	Specific heat capacity	kcal/(gm-degC)	http://qudt.org/vocab/unit#KilocaloriePerGramDegreeCelsius	NA	kcalpgmdegc
joulePerKilogramKelvin	Joule per Kilogram Kelvin	Specific heat capacity	J/(kg-K)	http://qudt.org/vocab/unit#JoulePerKilogramKelvin	NA	jpkgk
joulePerKilogramKelvinPerPascal	Joule per Kilogram Kelvin per Pascal	Specific heat pressure		http://qudt.org/vocab/unit#JoulePerKilogramKelvinPerPascal	NA	
joulePerKilogramKelvinPerCubicMeter	Joule per Kilogram Kelvin per Cubic Meter	Specific heat volume		http://qudt.org/vocab/unit#JoulePerKilogramKelvinPerCubicMeter	NA	
becquerelPerGram	Becquerel per Gram	Specific radioactivity	Bq/g	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	bqpg
disintegrationPerMinutePerGram	Disintegration per Minute per Gram	Specific radioactivity	dpm/g	http://qwwebservices.usgs.gov/service-domains.html	NA	dpmpg
picocuriePerGram	Picocurie per Gram	Specific radioactivity	pCi/g	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	pcipg
squareMeterPerGram	Square Meter per Gram	Specific surface area	m^2/g	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	m2pg
cubicCentimeterPerGram	Cubic Centimeter per Gram	Specific volume	cm^3/g	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	cm3pg
