TZ identifier,DST?
America/Indiana/Marengo,Y
America/Indiana/Petersburg,Y
America/Indiana/Tell_City,Y
America/Indiana/Vevay,Y
America/Indiana/Vincennes,Y
America/Indiana/Winamac,Y
America/Indianapolis,Y
America/Inuvik,Y
America/Iqaluit,Y
America/Jamaica,N
America/Jujuy,N
America/Juneau,Y
America/Kentucky/Louisville,Y
America/Kentucky/Monticello,Y
America/Knox_IN,Y
America/Kralendijk,N
America/La_Paz,N
America/Lima,N
America/Los_Angeles,Y
America/Louisville,Y
America/Lower_Princes,N
America/Maceio,N
America/Managua,N
America/Manaus,N
America/Marigot,N
America/Martinique,N
America/Matamoros,Y
America/Mazatlan,N
America/Mendoza,N
America/Menominee,Y
America/Merida,N
America/Metlakatla,Y
America/Mexico_City,N
America/Miquelon,Y
America/Moncton,Y
America/Monterrey,N
America/Montevideo,N
America/Montreal,Y
America/Montserrat,N
America/Nassau,Y
America/New_York,Y
America/Nipigon,Y
America/Nome,Y
America/Noronha,N
America/North_Dakota/Beulah,Y
America/North_Dakota/Center,Y
America/North_Dakota/New_Salem,Y
America/Nuuk,N
America/Ojinaga,Y
America/Panama,N
America/Pangnirtung,Y
America/Paramaribo,N
America/Phoenix,N
America/Port_of_Spain,N
America/Port-au-Prince,Y
America/Porto_Acre,N
America/Porto_Velho,N
America/Puerto_Rico,N
America/Punta_Arenas,N
America/Rainy_River,Y
America/Rankin_Inlet,Y
America/Recife,N
America/Regina,N
America/Resolute,Y
America/Rio_Branco,N
America/Rosario,N
America/Santa_Isabel,Y
America/Santarem,N
America/Santiago,Y
America/Santo_Domingo,N
America/Sao_Paulo,N
America/Scoresbysund,Y
America/Shiprock,Y
America/Sitka,Y
America/St_Barthelemy,N
America/St_Johns,Y
America/St_Kitts,N
America/St_Lucia,N
America/St_Thomas,N
America/St_Vincent,N
America/Swift_Current,N
America/Tegucigalpa,N
America/Thule,Y
America/Thunder_Bay,Y
America/Tijuana,Y
America/Toronto,Y
America/Tortola,N
America/Vancouver,Y
America/Virgin,N
America/Whitehorse,N
America/Winnipeg,Y
America/Yakutat,Y
America/Yellowknife,Y
Antarctica/Casey,Y
Antarctica/Davis,N
Antarctica/DumontDUrville,N
Antarctica/Macquarie,Y
Antarctica/Mawson,N
Antarctica/McMurdo,Y
Antarctica/Palmer,N
Antarctica/Rothera,N
Antarctica/South_Pole,Y
Antarctica/Syowa,N
Antarctica/Troll,Y
Antarctica/Vostok,N
Arctic/Longyearbyen,Y
Asia/Aden,N
Asia/Almaty,N
Asia/Amman,N
Asia/Anadyr,N
Asia/Aqtau,N
Asia/Aqtobe,N
Asia/Ashgabat,N
Asia/Ashkhabad,N
Asia/Atyrau,N
Asia/Baghdad,N
Asia/Bahrain,N
Asia/Baku,N
Asia/Bangkok,N
Asia/Barnaul,N
Asia/Beirut,Y
Asia/Bishkek,N
Asia/Brunei,N
Asia/Calcutta,N
Asia/Chita,N
Asia/Choibalsan,N
Asia/Chongqing,N
Asia/Chungking,N
Asia/Colombo,N
Asia/Dacca,N
Asia/Damascus,N
Asia/Dhaka,N
Asia/Dili,N
Asia/Dubai,N
Asia/Dushanbe,N
Asia/Famagusta,Y
Asia/Gaza,Y
Asia/Harbin,N
Asia/Hebron,Y
Asia/Ho_Chi_Minh,N
Asia/Hong_Kong,N
Asia/Hovd,N
Asia/Irkutsk,N
Asia/Istanbul,N
Asia/Jakarta,N
Asia/Jayapura,N
Asia/Jerusalem,Y
Asia/Kabul,N
Asia/Kamchatka,N
Asia/Karachi,N
Asia/Kashgar,N
Asia/Kathmandu,N
Asia/Katmandu,N
Asia/Khandyga,N
Asia/Kolkata,N
Asia/Krasnoyarsk,N
Asia/Kuala_Lumpur,N
Asia/Kuching,N
Asia/Kuwait,N
Asia/Macao,N
Asia/Macau,N
Asia/Magadan,N
Asia/Makassar,N
Asia/Manila,N
Asia/Muscat,N
Asia/Nicosia,Y
Asia/Novokuznetsk,N
Asia/Novosibirsk,N
Asia/Omsk,N
Asia/Oral,N
Asia/Phnom_Penh,N
Asia/Pontianak,N
Asia/Pyongyang,N
Asia/Qatar,N
Asia/Qostanay,N
Asia/Qyzylorda,N
Asia/Riyadh,N
Asia/Saigon,N
Asia/Sakhalin,N
Asia/Samarkand,N
Asia/Seoul,N
Asia/Shanghai,N
Asia/Singapore,N
Asia/Srednekolymsk,N
Asia/Taipei,N
Asia/Tashkent,N
Asia/Tbilisi,N
Asia/Tehran,N
Asia/Tel_Aviv,Y
Asia/Thimbu,N
Asia/Thimphu,N
Asia/Tokyo,N
Asia/Tomsk,N
Asia/Ujung_Pandang,N
Asia/Ulaanbaatar,N
Asia/Ulan_Bator,N
Asia/Urumqi,N
Asia/Ust-Nera,N
Asia/Vientiane,N
Asia/Vladivostok,N
Asia/Yakutsk,N
Asia/Yangon,N
Asia/Yangon,N
Asia/Yekaterinburg,N
Asia/Yerevan,N
Atlantic/Azores,Y
Atlantic/Bermuda,Y
Atlantic/Canary,Y
Atlantic/Cape_Verde,N
Atlantic/Faeroe,Y
Atlantic/Faroe,Y
Atlantic/Jan_Mayen,Y
Atlantic/Madeira,Y
Atlantic/Reykjavik,N
Atlantic/South_Georgia,N
Atlantic/St_Helena,N
Atlantic/Stanley,N
Australia/ACT,Y
Australia/Adelaide,Y
Australia/Brisbane,N
Australia/Broken_Hill,Y
Australia/Canberra,Y
Australia/Currie,Y
Australia/Darwin,N
Australia/Eucla,N
Australia/Hobart,Y
Australia/LHI,Y
Australia/Lindeman,N
Australia/Lord_Howe,Y
Australia/Melbourne,Y
Australia/North,N
Australia/NSW,Y
Australia/Perth,N
Australia/Queensland,N
Australia/South,Y
Australia/Sydney,Y
Australia/Tasmania,Y
Australia/Victoria,Y
Australia/West,N
Australia/Yancowinna,Y
Brazil/Acre,N
Brazil/DeNoronha,N
Brazil/East,N
Brazil/West,N
Canada/Atlantic,Y
Canada/Central,Y
Canada/Eastern,Y
Canada/Mountain,Y
Canada/Newfoundland,Y
Canada/Pacific,Y
Canada/Saskatchewan,N
Canada/Yukon,N
CET,Y
Chile/Continental,Y
Chile/EasterIsland,Y
CST6CDT,Y
Cuba,Y
EET,Y
Egypt,Y
Eire,Y
EST,N
EST5EDT,Y
Etc/GMT,N
Etc/GMT-0,N
Etc/GMT-1,N
Etc/GMT-2,N
Etc/GMT-3,N
Etc/GMT-4,N
Etc/GMT-5,N
Etc/GMT-6,N
Etc/GMT-7,N
Etc/GMT-8,N
Etc/GMT-9,N
Etc/GMT-10,N
Etc/GMT-11,N
Etc/GMT-12,N
Etc/GMT-13,N
Etc/GMT-14,N
Etc/GMT+0,N
Etc/GMT+1,N
Etc/GMT+2,N
Etc/GMT+3,N
Etc/GMT+4,N
Etc/GMT+5,N
Etc/GMT+6,N
Etc/GMT+7,N
Etc/GMT+8,N
Etc/GMT+9,N
Etc/GMT+10,N
Etc/GMT+11,N
Etc/GMT+12,N
Etc/GMT0,N
Etc/Greenwich,N
Etc/UCT,N
Etc/Universal,N
Etc/UTC,N
Etc/Zulu,N
Europe/Amsterdam,Y
Europe/Andorra,Y
Europe/Astrakhan,N
Europe/Athens,Y
Europe/Belfast,Y
Europe/Belgrade,Y
Europe/Berlin,Y
Europe/Bratislava,Y
Europe/Brussels,Y
Europe/Bucharest,Y
Europe/Budapest,Y
Europe/Busingen,Y
Europe/Chisinau,Y
Europe/Copenhagen,Y
Europe/Dublin,Y
Europe/Gibraltar,Y
Europe/Guernsey,Y
Europe/Helsinki,Y
Europe/Isle_of_Man,Y
Europe/Istanbul,N
Europe/Jersey,Y
Europe/Kaliningrad,N
Europe/Kiev,Y
Europe/Kirov,N
Europe/Kyiv,Y
Europe/Lisbon,Y
Europe/Ljubljana,Y
Europe/London,Y
Europe/Luxembourg,Y
Europe/Madrid,Y
Europe/Malta,Y
Europe/Mariehamn,Y
Europe/Minsk,N
Europe/Monaco,Y
Europe/Moscow,N
Europe/Nicosia,Y
Europe/Oslo,Y
Europe/Paris,Y
Europe/Podgorica,Y
Europe/Prague,Y
Europe/Riga,Y
Europe/Rome,Y
Europe/Samara,N
Europe/San_Marino,Y
Europe/Sarajevo,Y
Europe/Saratov,N
Europe/Simferopol,N
Europe/Skopje,Y
Europe/Sofia,Y
Europe/Stockholm,Y
Europe/Tallinn,Y
Europe/Tirane,Y
Europe/Tiraspol,Y
Europe/Ulyanovsk,N
Europe/Uzhgorod,Y
Europe/Vaduz,Y
Europe/Vatican,Y
Europe/Vienna,Y
Europe/Vilnius,Y
Europe/Volgograd,N
Europe/Warsaw,Y
Europe/Zagreb,Y
Europe/Zaporozhye,Y
Europe/Zurich,Y
Factory,N
GB,Y
GB-Eire,Y
GMT,N
GMT-0,N
GMT+0,N
GMT0,N
Greenwich,N
Hongkong,N
HST,N
Iceland,N
Indian/Antananarivo,N
Indian/Chagos,N
Indian/Christmas,N
Indian/Cocos,N
Indian/Comoro,N
Indian/Kerguelen,N
Indian/Mahe,N
Indian/Maldives,N
Indian/Mauritius,N
Indian/Mayotte,N
Indian/Reunion,N
Iran,N
Israel,Y
Jamaica,N
Japan,N
Kwajalein,N
Libya,N
MET,Y
Mexico/BajaNorte,Y
Mexico/BajaSur,N
Mexico/General,N
MST,N
MST7MDT,Y
Navajo,Y
NZ,Y
NZ-CHAT,Y
Pacific/Apia,N
Pacific/Auckland,Y
Pacific/Bougainville,N
Pacific/Chatham,Y
Pacific/Chuuk,N
Pacific/Easter,Y
Pacific/Efate,N
Pacific/Enderbury,N
Pacific/Fakaofo,N
Pacific/Fiji,N
Pacific/Funafuti,N
Pacific/Galapagos,N
Pacific/Gambier,N
Pacific/Guadalcanal,N
Pacific/Guam,N
Pacific/Honolulu,N
Pacific/Johnston,N
Pacific/Kanton,N
Pacific/Kiritimati,N
Pacific/Kosrae,N
Pacific/Kwajalein,N
Pacific/Majuro,N
Pacific/Marquesas,N
Pacific/Midway,N
Pacific/Nauru,N
Pacific/Niue,N
Pacific/Norfolk,Y
Pacific/Noumea,N
Pacific/Pago_Pago,N
Pacific/Palau,N
Pacific/Pitcairn,N
Pacific/Pohnpei,N
Pacific/Ponape,N
Pacific/Port_Moresby,N
Pacific/Rarotonga,N
Pacific/Saipan,N
Pacific/Samoa,N
Pacific/Tahiti,N
Pacific/Tarawa,N
Pacific/Tongatapu,N
Pacific/Truk,N
Pacific/Wake,N
Pacific/Wallis,N
Pacific/Yap,N
Poland,Y
Portugal,Y
PRC,N
PST8PDT,Y
ROC,N
ROK,N
Singapore,N
Turkey,N
UCT,N
Universal,N
US/Alaska,Y
US/Aleutian,Y
US/Arizona,N
US/Central,Y
US/East-Indiana,Y
US/Eastern,Y
US/Hawaii,N
US/Indiana-Starke,Y
US/Michigan,Y
US/Mountain,Y
US/Pacific,Y
US/Samoa,N
UTC,N
W-SU,N
WET,Y
Zulu,N
